data_envio,esporte,home,away,mercado,odd,stake,stake_sugerida,ev,data_jogo,url_bet
12/06/2025 23:26,Football,Inter Turku,FC Haka,Handicap de Cantos -4,1.82,1.00,1.00,0.0693,14/06/2025 08:00,https://www.bet365.com/#/AC/B1/C1/D8/E175354377/F3/I0/
12/06/2025 23:26,Football,Virginia United,Logan Lightning,Moneyline (Fora),6.50,0.50,0.50,0.1970,14/06/2025 03:00,https://www.bet365.com/#/AC/B1/C1/D8/E175779347/F3/
12/06/2025 23:26,Football,Fylkir,UMF Grindavik,Total de Cantos +11.5,2.00,1.00,1.00,0.0839,13/06/2025 16:15,https://www.bet365.com/#/AC/B1/C1/D8/E175717229/F3/I0/
12/06/2025 23:26,Basketball,Rockingham Flames,South West Slammers,Handicap Asiático (Fora) -31.5,1.83,1.00,1.00,0.0562,13/06/2025 09:30,https://www.bet365.com/#/AC/B18/C21043872/D19/E22870230/F19/
12/06/2025 23:26,Basketball,Perth Redbacks,Eastern Suns,Moneyline (Casa),3.50,1.00,1.00,0.1524,13/06/2025 09:30,https://www.bet365.com/#/AC/B18/C21043872/D19/E22870231/F19/
12/06/2025 23:26,Basketball,Perth Redbacks,Eastern Suns,Handicap Asiático (Casa) +8.5,1.83,1.00,1.00,0.0918,13/06/2025 09:30,https://www.bet365.com/#/AC/B18/C21043872/D19/E22870231/F19/
12/06/2025 23:26,Football,Guemes,Ferro Carril Oeste,Moneyline (Fora),3.75,0.50,0.50,0.0511,15/06/2025 15:00,https://www.bet365.com/#/AC/B1/C1/D8/E175704273/F3/
12/06/2025 23:26,Football,Croydon FC,Adelaide Comets,Total de Cantos +10.5,1.98,1.00,1.00,0.0991,14/06/2025 02:00,https://www.bet365.com/#/AC/B1/C1/D8/E175778962/F3/I0/
12/06/2025 23:26,Football,Giravanz Kitakyushu,Azul Claro Numazu,Total de Cantos +10,1.85,1.00,1.00,0.1078,14/06/2025 02:00,https://www.bet365.com/#/AC/B1/C1/D8/E175721252/F3/I0/
12/06/2025 23:26,Football,Nara Club,Gainare Tottori,Total de Cantos +8,1.80,1.00,1.00,0.0804,14/06/2025 03:00,https://www.bet365.com/#/AC/B1/C1/D8/E175721256/F3/I0/
